setor,lpa,lucro_liquido,divida_bruta_ativo,liquidez_corrente,liquidez_geral,rentabilidade_ativo,roe,margem_ebit,caixa_operacional,caixa_investimento,pandemia,variacao_valor_mercado
11,0.7823329304940748,0.0928170308568214,0.009586766502709985,0.026143790849673207,0.08333333333333334,0.9892010551470484,0.02529581235960241,0.4494135732179457,0.054470610305796585,0.8059862456975967,1,0.3421
11,0.7823003915868663,0.09281596058345802,0.012406403709389393,0.02287581699346405,0.07291666666666667,0.9891418007210914,0.02337412973581915,0.4483887497153267,0.05447075162996372,0.8059858358372373,1,0.4443
11,0.7823004484911555,0.0928159602558995,0.01228108650020364,0.02287581699346405,0.0625,0.9891431949428786,0.023117271167293667,0.4489865634251878,0.054470436962959605,0.8059861849725932,0,-0.5174
11,0.7823149125268558,0.0928164359816555,0.007832325574109464,0.032679738562091505,0.07291666666666667,0.9891717764895167,0.02420178512329016,0.4495559098155317,0.05446990637261896,0.8059890091419198,0,-0.177
9,0.7823476376662837,0.1538535794939429,0.000689244650521633,0.032679738562091505,0.11458333333333334,0.989266583571048,0.02684647705107108,0.4508843847263341,0.13924956907975453,0.7198354169739394,1,-0.0145
9,0.7823495896558417,0.16246150416719946,0.0008458911620038222,0.029411764705882356,0.11458333333333334,0.9892756460126649,0.026970149695175943,0.450780004554771,0.13088748011924362,0.7502507468161865,1,-0.0582
9,0.7823496362138965,0.16267345861174842,0.0008145618597073844,0.029411764705882356,0.11458333333333334,0.989279131567133,0.027017716096754737,0.4508938738328398,0.14595197367593704,0.7417652295179029,0,-0.0539
9,0.7823495724121177,0.16236176741634406,0.000657915348225195,0.03594771241830066,0.125,0.9892637951274735,0.02684647705107108,0.45098876489789713,0.1510889026151953,0.7451344647831624,0,-0.1461
9,0.7823648969096461,0.09281739125789484,0.014787430683918669,0.0915032679738562,0.10416666666666667,0.9892156944758143,0.025942715421074004,0.4494705078569801,0.05447129810192,0.8059830302351485,1,-0.3476
9,0.7822918283535225,0.09281661136997225,0.01506939440458661,0.06209150326797386,0.10416666666666667,0.9891829302638145,0.02434448432802654,0.44948948606999156,0.05447000899969326,0.8059864527551565,1,-0.9998
9,0.7822872070354876,0.09281654461547367,0.013220965569096776,0.052287581699346414,0.10416666666666667,0.9891815360420273,0.024277891365816227,0.4495559098155317,0.05446932230676832,0.8059866890168539,0,1303.1524
9,0.782070744843607,0.09281255844029275,0.02061468091105611,0.016339869281045753,0.0625,0.9889249992331779,0.012062839440382042,0.444033249829196,0.054468355090461884,0.805986377528327,0,-0.9997
5,0.7823610343154677,0.09281753873148225,6.265860459287572e-05,0.19281045751633988,1.0,0.9894527121796425,0.02964338146390414,0.45681507629241624,0.05447016013788441,0.8059874090737189,1,-0.1004
5,0.7823440009648898,0.09281723854337118,3.132930229643786e-05,0.10784313725490197,0.7708333333333334,0.9892874968978563,0.026684751285703183,0.45372162757154777,0.054470134875379723,0.8059874016891486,1,0.0451
5,0.7823416006385074,0.09281719625942049,0.0,0.10784313725490197,0.8333333333333334,0.9892693720146224,0.026342273194335866,0.4529245426250663,0.05447013079576657,0.8059832461809241,0,-0.0734
5,0.7823430542844415,0.09281722187160615,0.0028196372066794074,0.12745098039215685,0.3958333333333333,0.9892693720146224,0.02655156536128256,0.4534843999089045,0.05447010050223259,0.8059874070020295,0,-0.1676
0,0.7824632758038728,0.09281901948865265,0.006798458598327015,0.09803921568627452,0.3020833333333333,0.9893293235514731,0.02883475263706465,0.45263038032338865,0.054470991142497184,0.8059852591947423,1,0.9387
0,0.7823584874174313,0.09281719822958862,0.008208277201666718,0.06535947712418301,0.23958333333333331,0.9891773533766656,0.024810635063498714,0.4501347453123813,0.05447043882877179,0.8059861260742406,1,0.0366
0,0.7823796523642822,0.09281717434671923,0.009994047432563677,0.07516339869281045,0.23958333333333331,0.9892561269076438,0.026523025520335284,0.45044788582707046,0.05447073445264517,0.8059864419957372,0,-0.1012
0,0.7823819371577136,0.09281743287227738,0.0099313888279708,0.05555555555555556,0.20833333333333334,0.9892498529096013,0.02655156536128256,0.45138730737113786,0.05447045298154955,0.8059869439126179,0,-0.1463
0,0.7823471031108393,0.09281762799117765,0.006422506970769761,0.03594771241830066,0.11458333333333334,0.9892129060322399,0.02619006070928373,0.4491383891292795,0.054470178977404686,0.8059859531995561,1,1.0785
0,0.7823366327216199,0.09281719262255757,0.006516494877659075,0.03594771241830066,0.10416666666666667,0.9892024493688356,0.025457538124970307,0.44910992180976234,0.0544695247510926,0.8059844394628853,1,-0.0759
0,0.7822952201940354,0.09281525573052062,0.006673141389141264,0.029411764705882356,0.10416666666666667,0.9891668967132614,0.02263209387118997,0.4488821832536248,0.054470367305971296,0.8059835624365642,0,-0.9996
0,0.7823347083220202,0.09281688171172216,0.0065713211566778415,0.03349673202614379,0.10677083333333333,0.9891987895366442,0.025172139715497546,0.44903875351096934,0.05447012745840608,0.8059851877749207,0,-0.814
10,0.7821831221929857,0.09281669851498843,0.0,0.032679738562091505,0.03125,0.989034445643475,0.02548837066647368,0.44632012449707725,0.054469962565403054,0.8059873990716916,1,0.2056
10,0.7824644311333815,0.0928173697787269,0.0004699395344465679,0.0392156862745098,0.04166666666666667,0.9893362946604093,0.02511556423745973,0.45125445988005763,0.05447015025722424,0.8059873592306538,1,-0.2722
10,0.7825072179857696,0.09281747187582588,0.0002819637206679407,0.06535947712418301,0.07291666666666667,0.9893335062168348,0.02549519168846008,0.4505807333181507,0.054470104030246505,0.8059848946219589,0,-0.2247
10,0.7826370321888682,0.09281778164020649,0.0002506344183715029,0.1503267973856209,0.11458333333333334,0.9893885779774302,0.0340765700910477,0.4505807333181507,0.0544701866035418,0.8059873993278682,0,1.4746
2,0.7823895968199193,0.09281844637204281,0.0027256492997900935,0.0457516339869281,0.125,0.989244973133346,0.02735068090780629,0.4493471494724056,0.05447051809247166,0.8059870185045748,1,2.9952
2,0.7823478376934822,0.09281742475075302,0.005357310692690874,0.05555555555555556,0.13541666666666669,0.9892149973649207,0.025761963095074586,0.44905298717072795,0.062246263656491156,0.805987263253516,1,-0.9996
2,0.7823564026511983,0.09281764776993154,0.005012688367430057,0.06535947712418301,0.14583333333333334,0.9892254540283248,0.02602833494391583,0.4490245198512107,0.06228364653637826,0.805987347825224,0,0.2563
2,0.7823605532155677,0.09281775898568154,0.00454274883298349,0.05882352941176471,0.14583333333333334,0.9892296366936866,0.026142494307704937,0.44899605253169356,0.05927926318454803,0.8059873246133921,0,-0.0785
8,0.7823516382102541,0.09281838200197753,0.0,0.0784313725490196,0.0625,0.9892205742520696,0.025666830291917,0.4536362256129962,0.05447228034467815,0.8059839788572735,1,-0.2569
8,0.7823438785344493,0.09281780880829511,0.0,0.10457516339869283,0.08333333333333334,0.9892129060322399,0.025543157647812138,0.45268731496242304,0.054473500111991306,0.7905327759196803,1,-0.2128
8,0.7824366014872004,0.10913215991853736,0.0,0.05882352941176471,0.03125,0.98928819400875,0.02816882301496154,0.4676136794959386,0.059807946990913435,0.8059914275719896,0,2.2485
8,0.7823560888154213,0.09282042270597862,0.0,0.06209150326797386,0.04166666666666667,0.9892212713629632,0.02580952949665338,0.4537026493585363,0.0606890990082168,0.8059884007112443,0,-0.3751
9,0.7823542920193794,0.09282037981989831,0.00043861023215013,0.026143790849673207,0.08333333333333334,0.9892603095730055,0.027312627786543257,0.4501632126318985,0.05447297276460994,0.8059797847443421,1,-0.1559
9,0.7823369241405557,0.09281764303960122,0.0046993953444656785,0.08169934640522876,0.15625,0.9892094204777717,0.0255051045265491,0.4491289000227738,0.05446769568133818,0.7748401630361647,1,-0.5346
9,0.782286048257234,0.08382548036841624,0.0073623860396628965,0.10457516339869283,0.14583333333333334,0.9889947103225392,0.021528553354561962,0.44361572914294384,0.054471433780524464,0.8059843090466956,0,-0.2367
9,0.782336508566807,0.09281757809149149,0.006516494877659075,0.08496732026143791,0.14583333333333334,0.9892115118104526,0.025543157647812138,0.44878729218856744,0.05447318654448366,0.8059862547862986,0,-0.4073
12,0.7823141037961997,0.09281598203372374,0.016604530217112064,0.013071895424836603,0.020833333333333336,0.9891397093884106,0.021861518165613516,0.44830334775677516,0.054471020880729915,0.8059863398035312,1,0.3741
12,0.7823207719442747,0.09281628303109703,0.016729847426297816,0.00980392156862745,0.020833333333333336,0.9891578342716444,0.022242049378243863,0.4493186821528884,0.054471523709710264,0.8059865943651519,1,0.0759
12,0.7823278091080436,0.09281670192063357,0.017575738588301637,0.016339869281045753,0.020833333333333336,0.9891815360420273,0.023659528145291913,0.44987853943672657,0.05447168704231678,0.8059864129920855,0,0.0458
12,0.7823324787085056,0.09281698117871894,0.01826498323882327,0.02287581699346405,0.020833333333333336,0.989198266703474,0.025048467071392685,0.44993547407576095,0.054471612713393985,0.8059856579838154,0,-0.0479
5,0.7823539816323473,0.09818998582712109,0.012312415802500077,0.05882352941176471,0.13541666666666669,0.9892582182403247,0.027407760589700843,0.45552455780763673,0.058376339656389435,0.8059824232969806,1,-0.0969
5,0.7823504087327322,0.09282148223734953,0.013095648359911024,0.06862745098039216,0.13541666666666669,0.9892421846897715,0.026827450490439563,0.4557712745767858,0.06303541336334152,0.792125303616664,1,0.15
5,0.7823463392138656,0.0928204012797981,0.01303298975531815,0.05555555555555556,0.13541666666666669,0.9892282424718993,0.02632324663370435,0.45542966674257945,0.06326866580075952,0.805985224610895,0,0.1766
5,0.7823534488012753,0.09804879365593916,0.01300166045302171,0.06535947712418301,0.13541666666666669,0.9892428818006652,0.026855990331386838,0.45553404691414245,0.06289305633589264,0.8059810112067481,0,-0.1121
2,0.7823105102041159,0.09281671231098236,0.013377612080578966,0.0392156862745098,0.11458333333333334,0.9891857187073889,0.024591829616236266,0.4486924011235101,0.05447007473255276,0.8059860430618687,1,-0.3023
2,0.7822030645598043,0.0928145560703491,0.014756101381622231,0.03594771241830066,0.09375,0.9890839405169215,0.018760188782676178,0.4478383815379943,0.05447189431776191,0.8059860216878258,1,-0.175
2,0.7822027179609516,0.09281454947100841,0.009868730223377925,0.0196078431372549,0.07291666666666667,0.9890525705267089,0.006136065803664367,0.44701282927199565,0.05447130807883239,0.805988654983274,0,-0.1624
2,0.782312355282585,0.09281553680944596,0.01052664557160312,0.02287581699346405,0.08333333333333334,0.9890846376278152,0.004204869899565349,0.448379260608821,0.05446975937327309,0.805987391765088,0,-0.2343
